시도명,시군구명,읍면동명,어트랙션,어트랙션 목록
서울특별시,중구,명동,볼거리/놀거리/명소,"청계광장, 남산케이블카, 명동거리, 남산, 남산공원, 한국금융사박물관"
서울특별시,중구,명동,취미생활,"틈 틈틈이 하는 취미 생활, 스카팩토리, 일성레이저, 퐁슬리공방, 꽃자리자수공방, 초록맘생활연구소"
서울특별시,중구,명동,맛집,"명동 맛집, 원조 곱창떡볶이 화떡, 남촌회관, 명동교자 본점, 남포면옥, 하동관 명동본점, 어반플랜트 명동, 광화문특고기 정동집, 적당"
서울특별시,중구,명동,카페,"명동 카페, 심플러 회현점, 카페 드 파리 명동점, 어반플랜트 명동, 적당, 더 스팟 패뷸러스, 몰또 이탈리안 에스프레소바, 포엠, 커피한약방"
서울특별시,중구,명동,아이와함께,"한국금융사박물관, 우표박물관, 서울특별시교육청과학전시관 남산분관, 한양도성유적전시관, 우리은행 은행사박물관, 포룸VR"
서울특별시,중구,필동,여행지,"남산골한옥마을, 장충단공원, 남산공원, 남산예장공원, 남산봉수대, 서울신라호텔야외조각공원"
서울특별시,중구,필동,볼거리/놀거리/명소,"남산골한옥마을, 장충단공원, 남산공원, 장충테니스장, 한국의집, 남산예장공원"
서울특별시,중구,필동,취미생활,"문화공작소, 스카팩토리, 일성레이저, 미스티코, 틈 틈틈이 하는 취미 생활, 서이숲"
서울특별시,중구,필동,맛집,"한남북엇국 필동점, 비범, 필동면옥, 사랑방칼국수, 서울신라호텔 더 파크뷰, 하우스 커피 앤 디저트, 태극당, 충무로쭈꾸미불고기 충무로본점"
서울특별시,중구,필동,카페,"소셜다이브, 블리스버거 앤 카페, 하우스 커피 앤 디저트, 태극당, 섹터 커피 바, 프로스콘스 서울, 서울신라호텔 패스트리부티크, 로이터 커피 셸터"
서울특별시,중구,필동,아이와함께,"국립극장공연예술박물관, 한국현대문학관, 사랑 한국의집, 동국대학교서울캠퍼스박물관, 디키디키, 한국은행 화폐박물관"
서울특별시,중구,장충동,여행지,"장충단공원, 서울신라호텔야외조각공원, 서울한양도성길3코스(남산), 장충동족발골목, 유관순동상, 관성묘"
서울특별시,중구,장충동,볼거리/놀거리/명소,"종이나라박물관, 장충단공원, 국립극장공연예술박물관, 한국현대문학관, 장충테니스장, 장충체육관"
서울특별시,중구,장충동,취미생활,"문화공작소, 일성레이저, 미스티코, 대성무역, 틈 틈틈이 하는 취미 생활, 봉캔들"
서울특별시,중구,장충동,맛집,"팔팔식당 장충점, 크랩회피쉬 장충동본점, 평양면옥, 콘드에뻬뻬, 서울신라호텔 더 파크뷰, 하우스 커피 앤 디저트, 태극당, 서울신라호텔 더 라이브러리"
서울특별시,중구,장충동,카페,"카페드리옹 장충점, 하우스 커피 앤 디저트, 태극당, 카페드리옹 장충점, 프로스콘스 서울, 서울신라호텔 패스트리부티크, 커피빈 동대입구역점, 농축원"
서울특별시,중구,장충동,아이와함께,"종이나라박물관, 국립극장공연예술박물관, 한국현대문학관, 동국대학교서울캠퍼스박물관, 아름다운차박물관, 뮤지엄김치간"
서울특별시,중구,광희동,여행지,"광희문, 청계천헌책방거리, 중앙아시아길, 호텔 스카이파크 킹스타운 동대문점 스카이 시티 레이싱, 몽골타운, 오장동함흥냉면거리"
서울특별시,중구,광희동,볼거리/놀거리/명소,"동대문디자인플라자, 동대문디자인플라자뮤지엄, 현대아울렛 동대문점, 디키디키, 광희문, B the B"
서울특별시,중구,광희동,취미생활,"미스티코, 일성레이저, 문화공작소, 헤이온데이, 꽃자리자수공방, 대성무역"
서울특별시,중구,광희동,맛집,"도깨비불고기 동대문본점, 명동피자 현대시티아울렛동대문점, 삼겹살 전문점 대통령, Projec D, 오장동흥남집 본점, 오장동함흥냉면, 러시아케익, 경상도식당"
서울특별시,중구,광희동,카페,"러시아케익, 티프 동대문역사문화공원, 페인트커피&바, 뚜레쥬르 제일제당센터점, 고망고 DDP점, 설빙 동대문점"
서울특별시,중구,광희동,아이와함께,"디키디키, 릴리펏 현대시티아울렛동대문점, 디자인놀이터 동대문디자인플라자M배움터점, 서울공예박물관, 떡박물관, 아름다운차박물관"
서울특별시,중구,을지로동,여행지,"청계천헌책방거리, 을지로노가리골목, 호텔 스카이파크 킹스타운 동대문점 스카이 시티 레이싱, 이순신생가터, 훈련원공원, 힙지로 골목"
서울특별시,중구,을지로동,볼거리/놀거리/명소,"동대문디자인플라자, 동대문디자인플라자뮤지엄, B the B, 명보아트홀, 을지예술센터, DDP매거진라이브러리"
서울특별시,중구,을지로동,취미생활,"미스티코, 틈 틈틈이 하는 취미 생활, 일성레이저, 문화공작소, 헤이온데이, 꽃자리자수공방"
서울특별시,중구,을지로동,맛집,"을지다락, 을지다래, 우래옥, 화육계, 을지깐깐, 삼겹살 전문점 대통령"
서울특별시,중구,을지로동,카페,"적당, 분카샤 을지로점, 공간갑, 호랑이, 죠지, 커피한약방"
서울특별시,중구,을지로동,아이와함께,"디키디키, 릴리펏 현대시티아울렛동대문점, 여행이야기, 디자인놀이터 동대문디자인플라자M배움터점, 서울공예박물관, 떡박물관"
서울특별시,중구,신당동,여행지,"신당동떡볶이타운, 동대문역사문화공원, 매봉산공원, 다산성곽길, 신당동박정희대통령가옥, 한양도성"
서울특별시,중구,신당동,볼거리/놀거리/명소,"소수책방, 제일평화시장, 청평화패션몰, 남평화상가, 동평화패션타운, 신평화시장"
서울특별시,중구,신당동,취미생활,"대성무역, 만족오케이, 일성레이저, 르비엔, 문화공작소, 헤이온데이"
서울특별시,중구,신당동,맛집,"왕게수산 킹크랩 신당동직영점, 청춘상회, 우정, 금돼지식당, 뽕사부 약수역점, 주공, 그릴1492 본점, 태태삼겹 신당 2호점"
서울특별시,중구,신당동,카페,"더보이앤버드, 예삐케이크, 퀸즈베리도넛하우스, 리사르커피, 커피그래, 펄시커피, RDBK COFFEE SHOW ROOM, 더설 약수본점"
서울특별시,중구,신당동,아이와함께,"키즈카페 몽슈슈, 다산어린이공원, 남산타운문화체육센터 어린이도서관, 중구 하티붕붕놀이터, 디키디키, 더가루 왕십리점"
서울특별시,중구,다산동,여행지,"청계천, 남산야외식물원, 신당동떡볶이타운, 장충단공원, 광희문, 흥인지문"
서울특별시,중구,다산동,볼거리/놀거리/명소,"동대문디자인플라자, 리움미술관, 디키디키, 충무아트센터, 장충테니스장, 릴리펏 현대시티아울렛동대문점"
서울특별시,중구,다산동,취미생활,"일성레이저, 문화공작소, 미스티코, 대성무역, 봉캔들, 만족오케이"
서울특별시,중구,다산동,맛집,"사랑방칼국수, 약수빈스토리, 이 장소의 정보 더보기, 우정, 우래옥, 하우스 커피 앤 디저트, 필동면옥"
서울특별시,중구,다산동,카페,"약수빈스토리, 이 장소의 정보 더보기, 하우스 커피 앤 디저트, 메일룸 신당, 태극당, 올드페리도넛 한남점, 퀸즈베리도넛하우스"
서울특별시,중구,다산동,아이와함께,"디키디키, 릴리펏 현대시티아울렛동대문점, 키즈카페 몽슈슈, 종이나라박물관, 중구 하티붕붕놀이터, 용산공예관"
서울특별시,중구,약수동,여행지,"남산야외식물원, 신당동떡볶이타운, 장충단공원, 광희문, 달맞이봉공원, 한남동카페거리"
서울특별시,중구,약수동,볼거리/놀거리/명소,"리움미술관, 블루스퀘어, 국립극장, 현대카드 스토리지, 국립극장 해오름극장, 더줌아트센터"
서울특별시,중구,약수동,취미생활,"문화공작소, 봉캔들, 만족오케이"
서울특별시,중구,약수동,맛집,"챔피언 눈꽃치즈 떡볶이, 이 장소의 정보 더보기, 케르반 레스토랑, 우정, 하우스 커피 앤 디저트, 필동면옥, 솔솥 한남점"
서울특별시,중구,약수동,카페,"하우스 커피 앤 디저트, 엔다이브, 한남작업실, 태극당, 올드페리도넛 한남점, 맥심플랜트"
서울특별시,중구,약수동,아이와함께,"미미국수, 하이가쯔, 타코 까나스따 금호점, 박과장의조은회사, 오차드1974 2호점, 짬뽕지존 신당점"
서울특별시,중구,청구동,여행지,"청계천, 신당동떡볶이타운, 장충단공원, 광희문, 대현산 장미원, 달맞이봉공원"
서울특별시,중구,청구동,볼거리/놀거리/명소,"동대문디자인플라자, 충무아트센터, 서울신라호텔 더 파크뷰, 우정, 장충체육관, 청계천"
서울특별시,중구,청구동,취미생활,"문화공작소, 미스티코, 오롯 한 나만의 시간, 대성무역, 만족오케이, 황학 뜬구름연구소"
서울특별시,중구,청구동,맛집,"우정, 삼겹살 전문점 대통령, 평양면옥, 하우스 커피 앤 디저트, 금돼지식당, Projec D"
서울특별시,중구,청구동,카페,"하우스 커피 앤 디저트, 메일룸 신당, 태극당, 퀸즈베리도넛하우스, 리사르커피, 러시아케익"
서울특별시,중구,청구동,아이와함께,"삼겹살 전문점 대통령, 델리커리 동대문DDP점, 미미국수, 하이가쯔, 모모야 동대문 DDP점, 타코 까나스따 금호점"
서울특별시,중구,신당제5동,여행지,"신당동떡볶이타운, 동대문역사문화공원, 매봉산공원, 다산성곽길, 신당동박정희대통령가옥, 한양도성"
서울특별시,중구,신당제5동,볼거리/놀거리/명소,"소수책방, 제일평화시장, 키즈카페 몽슈슈, 매봉산공원, 청평화패션몰, 동대문역사문화공원"
