city,title,label
경기도,경기 광명시,0
경기도,경기 광주시,0
경기도,경기 군포시,0
경기도,경기 김포시,0
경기도,경기 남양주 조안 [슬로시티],0
경기도,경기 남양주시,0
경기도,경기 동두천시,0
경기도,경기 부천시,0
경기도,경기 수원시,0
경기도,경기 시흥시,0
경기도,경기 안양시,0
경기도,경기 양주시,0
경기도,경기 양평군,0
경기도,경기 연천군,0
경기도,경기 오산시,0
경기도,경기 용인시,0
경기도,경기 의왕시,0
경기도,경기 의정부시,0
경기도,경기 이천시,0
경기도,경기 평택시,0
경기도,경기 포천시,0
경기도,경기 하남시,0
경기도,경기 화성시,0
경기도,경기도립 물향기수목원,0
경기도,경기영어마을 양평캠프,0
경기도,경기영어마을 파주캠프,0
전라북도,경기전,0
경기도,경기콘텐츠 코리아랩,0
경상남도,경남 거창군,0
경상남도,경남 김해시,0
경상남도,경남 남해군,0
경상남도,경남 밀양시,0
경상남도,경남 사천시,0
경상남도,경남 양산시,0
경상남도,경남 진주시,0
경상남도,경남 창녕군,0
경상남도,경남 통영시,0
경상남도,경남 하동 악양 [슬로시티],0
경상남도,경남 하동군,0
경상남도,경남 함안군,0
경상남도,경남 합천군,0
경상남도,경백사,0
서울,경복궁,0
경상북도,경북 경산시,0
경상북도,경북 고령군,0
경상북도,경북 구미시,0
경상북도,경북 김천시,0
경상북도,경북 문경시,0
경상북도,경북 상주 함창·이안·공검 [슬로시티],0
경상북도,경북 상주시,0
경상북도,경북 성주군,0
경상북도,경북 영덕군,0
경상북도,경북 영양군,0
경상북도,경북 영주시,0
경상북도,경북 울진군,0
경상북도,경북 의성군,0
경상북도,경북 청도군,0
경상북도,경북 청송 부동·파천 [슬로시티],0
경상북도,경북 청송군,0
경상북도,경북 칠곡군,0
경상북도,경북 포항시,0
경상북도,경북전통음식체험관 모심정,0
경상북도,경산 임당동과 조영동 고분군,0
경상북도,경산서원,0
경상북도,경산포교당(보문사),0
경상북도,경산향교,0
대구,경상감영공원,0
경상남도,경상남도수목원,0
경상북도,경상북도 산림환경연구원,0
경상북도,경상북도수목원,0
서울,경성 부민관 폭탄 의거지,0
경기도,경안천 습지생태공원,0
전라북도,경암동 철길마을,0
경기도,경앙사,0
경상북도,경양서원,0
전라북도,경옥봉,0
서울,경운동민병옥가옥,0
강원도,경원선 철도중단점 (백마고지역),0
서울,경의선책거리,0
경기도,경인 아라뱃길,0
경기도,경인아라뱃길유람선 현대크루즈호,0
광주,경장각,0
경상북도,경정해수욕장,0
경상북도,경주 감은사지,0
경상북도,경주 경덕왕릉,0
경상북도,경주 경애왕릉,0
경상북도,경주 계림,0
경상북도,경주 골굴암 마애여래좌상,0
경상북도,경주 교촌마을,0
경상북도,경주 구정동 방형분,0
경상북도,경주 굴불사지 석조사면불상,0
경상북도,경주 금척리 고분군,0
경상북도,경주 김유신묘,0
경상북도,경주 나정,0
경상북도,경주 남산,0
경상북도,경주 남산 미륵곡 석조여래좌상,0
경상북도,경주 남산 불곡 마애여래좌상,0
경상북도,경주 남산 신선암 마애보살반가상,0
경상북도,경주 남산 용장사곡 삼층석탑,0
경상북도,경주 남산 용장사지 마애여래좌상,0
경상북도,경주 남산 칠불암 마애불상군,0
경상북도,경주 남산 탑곡 마애불상군,0
경상북도,경주 남산동 동ㆍ서 삼층석탑,0
경상북도,경주 낭산 일원,0
경상북도,경주 내물왕릉,0
경상북도,경주 대릉원 일원,0
경상북도,경주 독락당,0
경상북도,경주 동궁과 월지,0
경상북도,경주 동방동 와요지,0
경상북도,경주 동부 사적지대,0
경상북도,경주 마우나오션 관광단지,0
경상북도,경주 망덕사지,0
경상북도,"경주 무열왕릉, 태종무열왕릉비",0
경상북도,경주 문무대왕릉,0
경상북도,경주 배동 삼릉,0
경상북도,경주 배동 석조여래삼존입상,0
경상북도,경주 버드파크,0
경상북도,경주 법흥왕릉,0
경상북도,경주 보문관광단지,0
경상북도,경주 불국사 [유네스코 세계문화유산],0
경상북도,경주 산에들레마을,0
경상북도,경주 서악동 고분군,0
경상북도,경주 서출지,0
경상북도,경주 석굴암 [유네스코 세계문화유산],0
경상북도,경주 석빙고,0
경상북도,경주 선덕여왕릉,0
경상북도,경주 성덕왕릉,0
경상북도,경주 신무왕릉,0
경상북도,경주 신문왕릉,0
경상북도,경주 쌈밥거리,0
경상북도,경주 양동 무첨당,0
경상북도,경주 양동마을 [유네스코 세계문화유산],0
경상북도,경주 오릉,0
경상북도,경주 원성왕릉,0
경상북도,경주 월성(반월성),0
경상북도,경주 유연정,0
경상북도,경주 율동 마애여래삼존입상,0
경상북도,경주 이견대,0
경상북도,경주 일성왕릉,0
경상북도,경주 장항리 서 오층석탑,0
경상북도,경주 재매정,0
경상북도,경주 정강왕릉,0
경상북도,경주 정혜사지 십삼층석탑,0
경상북도,경주 지마왕릉,0
경상북도,경주 진덕여왕릉,0
경상북도,경주 첨성대,0
경상북도,경주 탈해왕릉,0
경상북도,경주 포석정지,0
경상북도,경주 헌강왕릉,0
경상북도,경주 헌덕왕릉,0
경상북도,경주 황룡사지,0
경상북도,경주 효공왕릉,0
경상북도,경주 효소왕릉,0
경상북도,경주 흥덕왕릉,0
경상북도,경주국립공원,0
경상북도,경주능지탑지,0
경상북도,경주민속공예촌,0
