,0
880,시브랄
881,시팍
882,시팔
883,시펄
884,신발끈
885,심발끈
886,심탱
887,십8
888,십8
889,십넘
890,십녀
891,십놈
892,십때꺄
893,십때끼
894,십떼끼
895,십라
896,십밸
897,십새
898,십새
899,십새꺄
900,십새끼
901,십새끼
902,십새캬
903,십새키
904,십색
905,십색꺄
906,십색끼
907,십색히
908,십세
909,십세
910,십세끼
911,십쇄리
912,십쉐
913,십쉐
914,십쉐리
915,십쉐이
916,십쉐이
917,십쉑
918,십쉑히
919,십스키
920,십시끼
921,십쌔
922,십쌔
923,십쌔꺄
924,십쎄끼
925,십씨키
926,십알
927,십장생
928,십질
929,십창
930,십창
931,십탱
932,십탱
933,십탱구리
934,십팔
935,십팔년
936,십팔련
937,십팔연
938,십할
939,십할련
940,싯끼
941,싯빨
942,싯팔
943,싲팔
944,싴팔
945,싵팔
946,싶알
947,싶알
948,싶팔
949,싸가지
950,"싸가지 없다 '싸가지' 가 싹을 비하해서 말한 것이라 원래는 '가망이 없다' 는 뜻이었는데 시간이 지나며 '예의가 없다' 는 뜻으로 바뀐 예. ""이게 싸가지 없이 어른한테 대들어"" 란 예문을 생각하면 적절할까. 농경사회에서는 예의가 없는 사람은 올바른 사회 구성원이 될 가망이 없는 것이나 마찬가지니까. 개념없다는 말과 원래 뜻과 욕설로서의 뜻 모두 비슷하다. 더 강조하여 ""싹바가지 없다""라고도 한다."
951,싸발년
952,싸앙넘
953,싸앙녀
954,싸앙년
955,싸이코(사이코) 국제가수인 이 분의 예명도 이 낱말에서 기원한다.
956,싸줄께
957,싹년
958,싹아지
959,쌉
960,쌉년
961,쌉년
962,쌍넌
963,쌍넘
964,쌍넘
965,쌍년
966,쌍념
967,쌍노무
968,쌍놈
969,쌍놈아
970,쌍뇨나
971,쌍뇬
972,쌍뇬
973,쌍뇸
974,쌍뇽
975,쌍뉸
976,쌍말
977,쌍말하다
978,쌍연
979,쌍욕 수위 높은 욕설의 범주를 나타내는 말이기도 하면서 그 자체로 욕설로 쓰이기도 한다.
980,쌔꺄
981,쌔끼
982,쌔끼
983,쌔리
984,쌔캬
985,쌔키
986,쌕
987,쌕
988,쌕갸
989,쌕걸
990,쌕꺄
991,쌕수
992,쌕스
993,쌕쑤
994,쌕쓰
995,쌤
996,쌩까다
997,쌩보지
998,쌩쑈
999,쌩포르노
1000,쌰앙넘
1001,쌰앙녀
1002,쌰앙년
1003,쌰앙눔
1004,쌰앙뉸
1005,썁색
1006,썅
1007,썅
1008,썅
